id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
3315,103701,Cajnik Fiser BR 247,2,12.3967,24.79,15,30,Čajovnici,,793,Fisher,https://serpapi.com/searches/67fab438e6f9a065565f391e/images/93532d648b4ea69c262a508140d08199f64ddf026b0d6c8f14986e4a0556c307.jpeg
3321,103707,Dimov.cijev 1m fi 80 farbana,15,8.843,132.64,10.7,160.5,Dimne cijevi,,794,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac400d959591abd6c0505/images/4ad09f78b7305fb494914f3604977440f15ad56fe7e7fabc406986afb7a03cf9.jpeg
3322,103708,Dimov.cijev 0.5m fi 80 farbana,4,7.1901,28.76,8.7,34.8,Dimne cijevi,,795,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac4032d7ded0e71561365/images/3402070de4ddc70e05a3172496ad7034cd68cd0610f096cdbf84322dfbaf6f20.jpeg
3323,103709,Dimov.cijev krivina 90 fi 80 farbana,12,7.7686,93.22,9.4,112.8,Dimne cijevi,,796,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac406bd629cc8efd36738/images/bcfb348864128d47c468c920a2e2d38a1392b4294e953f6eaa3093e3bfded9c2.jpeg
3324,103710,Dimov.cijev T-racva fi 80 farbana,16,9.0083,144.13,10.9,174.4,Dimne cijevi,,797,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac408409d3ad3063ab4d9/images/5f8f712dbfe9345eaeb9052f1856f777ca5332f6dc274cb6a9f83aff0f9c6004.jpeg
3325,103711,Dimov.cijev kondez.lonce fi 80 farbana,18,6.1983,111.57,7.5,135,Dimne cijevi,,798,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac40b72e8d47ba0dab1dc/images/a3cbffbb7728724298b2a88b1acff7f1f74b9d02d2248ea48125fa1bdca6cd2d.jpeg
3326,103712,Dimov.cijev 1m fi 80 crna emajl,12,9.0909,109.09,11,132,Dimne cijevi,Crna,799,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac484e5e072a19faaad23/images/6c6febeb8b78e147f957d250dd3a342cae4872b427ab5fd4b1d576a1664f21c4.jpeg
3327,103713,Dimov.cijev 0.5m fi 80 crna emajl,6,7.438,44.63,9,54,Dimne cijevi,Crna,800,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac48b2ab32aca01a60789/images/146b07513d48ebd16fadc0d9bd211973c28de606c61951fd4f3bb6a4ad1d91a1.jpeg
3328,103714,Dimov.cijev 0.25m fi 80 crna emajl,8,6.7769,54.21,8.2,65.6,Dimne cijevi,Crna,801,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4d95b1940327cb4d57d/images/555ee1367881e2167ec3b771b02532d1c3cf2a6d2a2332094aaca769b4f3a3dd.jpeg
3329,103715,Dimov.cijev krivina 90 fi80 crna emajl,8,8.1818,65.45,9.9,79.2,Dimne cijevi,Crna,802,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4e8e3dbb4a1c5daae20/images/7fbee72c131445743aba1cc74aa8ac484051ef16d40f5c110a274001095b7fcf.jpeg
