2203,102459,R 46 ELEGANT 2 R,0,225.0413,0,272.3,0,Šporeti,Alfa plam,/images/products/2203_r_46_elegant_2_r.jpg,Šporet na čvrsto gorivo Alfa Plam Regular 46 Elegant 2R                                                    Proizvođač:\\\\nAlfa Plam    Deklaracija:\\\\nDeklaracija Alfa Plam     Šifra:\\\\nAP16907    Tip:\\\\nza klasično grejanje    Tip goriva:\\\\ndrvo/ugalj    Marka proizvoda:\\\\nAlfa Plam        1 2 3 4 5\\\\n(0.0 ocena)\\\\n42.990 RSD   Količina:  -  +   Dodaj u korpu  Uporedi        Podeli\\\\nSpecifikacija\\\\nKomentari       Nominalna toplotna snaga: 5 kWVrsta goriva: drva i ugaljPotrebna promaja dimnjaka: 10 PaZapremina zagrevanja: 83 m3Površina zagrevanja: 32 m2Dimenzije za instaliranje:Prečnik dimovodnog nastavka: 120 mmVisina pod - osa dimovodnog nastavka: 700 mmTežina neto: 103 kgTežina bruto: 116 kgDimenzije rerne (Š x V x D): 46 x 18\\\\
277,100388,Elek.gril FS 015 fiser,3,41.32,123.96,50,149.99,Grilovi,Fisher,/images/products/277_elek_gril_fs_015_fiser.jpg,fullfailed
1586,101740,TV Led 42ADW-GB Vox,0,215.7025,0,261,0,Televizori,Vox,/images/products/1586_tv_led_42adw_gb_vox.jpg,Vivax Akcija\\\\nSamsung produžena garancija\\\\nKratak opis:\\\\nDijagonala: 42" (107 cm)\\\\nRezolucija: 1920 x 1080 (Full HD)\\\\nSmart: da\\\\nAndroid: da\\\\nBoja: crna\\\\nTjuner: analogni i digitalni\\\\nVOX DLED televizor 42ADWGB Android Smart\\\\nDijagonala ekrana: 42" (107 cm)\\\\nRezolucija ekrana: Full HD (1920 x 1080 pix)\\\\nTip ekrana: Direct LED slim\\\\nOdziv slike: 60 Hz\\\\nSmart TV: da\\\\nAndroid 9.0\\\\nTip tjunera: DVB-T2/C/S2\\\\nH.265 HEVC\\\\nSnaga zvučnika: 2 x 8 W RMS\\\\nWiFi Integrisan\\\\
327,100439,Mikser M 400 ORAW Gorenje,1,40.4959,40.5,49,49,Mikser,Gorenje,/images/products/327_mikser_m_400_oraw_gorenje.jpg,fullfailed
328,100440,BLENDER Tefal 679611,1,53.72,53.72,65,65,Blenderi,Tefal,/images/products/328_blender_tefal_679611.jpg,fullfailed
1375,101525,Elek.kabal 3x2\\\\\\\\\\\\\\\\,5,0,0.9504,0,1.15,0,Kablovi,Bez rasporeda po brendovima,fullfailed
376,100488,CIJEV ZA USISIVAC ELEGANT,4,2.4793,9.92,3,12,Dimne cijevi,Bez rasporeda po brendovima,/images/products/376_cijev_za_usisivac_elegant.jpg,TERMOELEGANT A peć na kruta goriva\\\\\\\\
431,100546,CISTAC  372334,7,4.876,34.13,5.9,41.3,Ostalo,Bez rasporeda po brendovima,/images/products/431_cistac__372334.jpg,failed
434,100549,Dimov rozetna fi 100,5,7.2727,36.36,8.8,44,Dimne cijevi,Bez rasporeda po brendovima,/images/products/434_dimov_rozetna_fi_100.jpg,failed
442,100557,Silikonska kasika HS-ST625,2,3.2231,6.45,3.9,7.8,Stono posuđe,Bez rasporeda po brendovima,/images/products/442_silikonska_kasika_hs_st625.jpg,failed
